Datum;Tijd (NL tijd);Locatie;Waterhoogte berekend Oppervlaktewater t.o.v. NAP;Extremen
29-10-2025;13:20;Hoek van Holland;-54;
29-10-2025;13:30;Hoek van Holland;-53;
29-10-2025;13:40;Hoek van Holland;-53;
29-10-2025;13:50;Hoek van Holland;-52;
29-10-2025;14:00;Hoek van Holland;-50;
29-10-2025;14:10;Hoek van Holland;-49;
29-10-2025;14:20;Hoek van Holland;-48;
29-10-2025;14:30;Hoek van Holland;-47;
29-10-2025;14:40;Hoek van Holland;-46;
29-10-2025;14:50;Hoek van Holland;-46;
29-10-2025;15:00;Hoek van Holland;-46;
29-10-2025;15:10;Hoek van Holland;-46;
29-10-2025;15:20;Hoek van Holland;-46;
29-10-2025;15:30;Hoek van Holland;-45;
29-10-2025;15:40;Hoek van Holland;-44;
29-10-2025;15:50;Hoek van Holland;-43;
29-10-2025;16:00;Hoek van Holland;-40;
29-10-2025;16:10;Hoek van Holland;-37;
29-10-2025;16:20;Hoek van Holland;-32;
29-10-2025;16:30;Hoek van Holland;-27;
29-10-2025;16:40;Hoek van Holland;-21;
29-10-2025;16:50;Hoek van Holland;-14;
29-10-2025;17:00;Hoek van Holland;-6;
29-10-2025;17:10;Hoek van Holland;3;
29-10-2025;17:20;Hoek van Holland;12;
29-10-2025;17:30;Hoek van Holland;21;
29-10-2025;17:40;Hoek van Holland;31;
29-10-2025;17:50;Hoek van Holland;42;
29-10-2025;18:00;Hoek van Holland;52;
29-10-2025;18:10;Hoek van Holland;63;
29-10-2025;18:20;Hoek van Holland;72;
29-10-2025;18:30;Hoek van Holland;81;
29-10-2025;18:40;Hoek van Holland;89;
29-10-2025;18:50;Hoek van Holland;95;
29-10-2025;19:00;Hoek van Holland;100;
29-10-2025;19:10;Hoek van Holland;103;
29-10-2025;19:20;Hoek van Holland;104;
29-10-2025;19:25;Hoek van Holland;104;104
29-10-2025;19:30;Hoek van Holland;104;
29-10-2025;19:40;Hoek van Holland;103;
29-10-2025;19:50;Hoek van Holland;101;
29-10-2025;20:00;Hoek van Holland;99;
29-10-2025;20:10;Hoek van Holland;97;
29-10-2025;20:20;Hoek van Holland;95;
29-10-2025;20:30;Hoek van Holland;92;
29-10-2025;20:40;Hoek van Holland;90;
29-10-2025;20:50;Hoek van Holland;87;
29-10-2025;21:00;Hoek van Holland;84;
29-10-2025;21:10;Hoek van Holland;81;
29-10-2025;21:20;Hoek van Holland;77;
29-10-2025;21:30;Hoek van Holland;72;
29-10-2025;21:40;Hoek van Holland;67;
29-10-2025;21:50;Hoek van Holland;62;
29-10-2025;22:00;Hoek van Holland;56;
29-10-2025;22:10;Hoek van Holland;51;
29-10-2025;22:20;Hoek van Holland;45;
29-10-2025;22:30;Hoek van Holland;40;
29-10-2025;22:40;Hoek van Holland;35;
29-10-2025;22:50;Hoek van Holland;30;
29-10-2025;23:00;Hoek van Holland;25;
29-10-2025;23:10;Hoek van Holland;20;
29-10-2025;23:20;Hoek van Holland;15;
29-10-2025;23:30;Hoek van Holland;10;
29-10-2025;23:40;Hoek van Holland;5;
29-10-2025;23:50;Hoek van Holland;1;
30-10-2025;00:00;Hoek van Holland;-3;
30-10-2025;00:10;Hoek van Holland;-6;
30-10-2025;00:20;Hoek van Holland;-9;
30-10-2025;00:30;Hoek van Holland;-11;
30-10-2025;00:40;Hoek van Holland;-13;
30-10-2025;00:50;Hoek van Holland;-14;
30-10-2025;01:00;Hoek van Holland;-16;
30-10-2025;01:10;Hoek van Holland;-17;
30-10-2025;01:20;Hoek van Holland;-19;
30-10-2025;01:30;Hoek van Holland;-20;
30-10-2025;01:40;Hoek van Holland;-22;
30-10-2025;01:50;Hoek van Holland;-23;
30-10-2025;02:00;Hoek van Holland;-24;
30-10-2025;02:10;Hoek van Holland;-25;
30-10-2025;02:20;Hoek van Holland;-26;
30-10-2025;02:30;Hoek van Holland;-26;
30-10-2025;02:40;Hoek van Holland;-26;
30-10-2025;02:45;Hoek van Holland;-26;-26
30-10-2025;02:50;Hoek van Holland;-26;
30-10-2025;03:00;Hoek van Holland;-26;
30-10-2025;03:10;Hoek van Holland;-26;
30-10-2025;03:20;Hoek van Holland;-26;
30-10-2025;03:30;Hoek van Holland;-26;
30-10-2025;03:40;Hoek van Holland;-26;
30-10-2025;03:50;Hoek van Holland;-26;
30-10-2025;04:00;Hoek van Holland;-25;
30-10-2025;04:10;Hoek van Holland;-24;
30-10-2025;04:20;Hoek van Holland;-22;
30-10-2025;04:30;Hoek van Holland;-20;
30-10-2025;04:40;Hoek van Holland;-17;
30-10-2025;04:50;Hoek van Holland;-14;
30-10-2025;05:00;Hoek van Holland;-10;
30-10-2025;05:10;Hoek van Holland;-6;
30-10-2025;05:20;Hoek van Holland;-1;
30-10-2025;05:30;Hoek van Holland;4;
30-10-2025;05:40;Hoek van Holland;10;
30-10-2025;05:50;Hoek van Holland;16;
30-10-2025;06:00;Hoek van Holland;23;
30-10-2025;06:10;Hoek van Holland;30;
30-10-2025;06:20;Hoek van Holland;37;
30-10-2025;06:30;Hoek van Holland;44;
30-10-2025;06:40;Hoek van Holland;51;
30-10-2025;06:50;Hoek van Holland;58;
30-10-2025;07:00;Hoek van Holland;64;
30-10-2025;07:10;Hoek van Holland;69;
30-10-2025;07:20;Hoek van Holland;73;
30-10-2025;07:30;Hoek van Holland;76;
30-10-2025;07:40;Hoek van Holland;78;
30-10-2025;07:50;Hoek van Holland;79;
30-10-2025;07:59;Hoek van Holland;79;79
30-10-2025;08:00;Hoek van Holland;79;
30-10-2025;08:10;Hoek van Holland;79;
30-10-2025;08:20;Hoek van Holland;78;
30-10-2025;08:30;Hoek van Holland;77;
30-10-2025;08:40;Hoek van Holland;75;
30-10-2025;08:50;Hoek van Holland;74;
30-10-2025;09:00;Hoek van Holland;71;
30-10-2025;09:10;Hoek van Holland;69;
30-10-2025;09:20;Hoek van Holland;65;
30-10-2025;09:30;Hoek van Holland;61;
30-10-2025;09:40;Hoek van Holland;57;
30-10-2025;09:50;Hoek van Holland;52;
30-10-2025;10:00;Hoek van Holland;47;
30-10-2025;10:10;Hoek van Holland;42;
30-10-2025;10:20;Hoek van Holland;37;
30-10-2025;10:30;Hoek van Holland;32;
30-10-2025;10:40;Hoek van Holland;27;
30-10-2025;10:50;Hoek van Holland;22;
30-10-2025;11:00;Hoek van Holland;17;
30-10-2025;11:10;Hoek van Holland;12;
30-10-2025;11:20;Hoek van Holland;7;
30-10-2025;11:30;Hoek van Holland;1;
30-10-2025;11:40;Hoek van Holland;-4;
30-10-2025;11:50;Hoek van Holland;-10;
30-10-2025;12:00;Hoek van Holland;-15;
30-10-2025;12:10;Hoek van Holland;-21;
30-10-2025;12:20;Hoek van Holland;-25;
30-10-2025;12:30;Hoek van Holland;-30;
30-10-2025;12:40;Hoek van Holland;-34;
30-10-2025;12:50;Hoek van Holland;-37;
30-10-2025;13:00;Hoek van Holland;-40;
30-10-2025;13:10;Hoek van Holland;-42;
30-10-2025;13:20;Hoek van Holland;-44;
30-10-2025;13:30;Hoek van Holland;-46;
30-10-2025;13:40;Hoek van Holland;-48;
30-10-2025;13:50;Hoek van Holland;-49;
30-10-2025;14:00;Hoek van Holland;-50;
30-10-2025;14:10;Hoek van Holland;-51;
30-10-2025;14:19;Hoek van Holland;-51;-51
30-10-2025;14:20;Hoek van Holland;-51;
30-10-2025;14:30;Hoek van Holland;-51;
30-10-2025;14:40;Hoek van Holland;-50;
30-10-2025;14:50;Hoek van Holland;-49;
30-10-2025;15:00;Hoek van Holland;-48;
30-10-2025;15:10;Hoek van Holland;-47;
30-10-2025;15:20;Hoek van Holland;-47;
30-10-2025;15:30;Hoek van Holland;-46;
30-10-2025;15:40;Hoek van Holland;-46;
30-10-2025;15:50;Hoek van Holland;-46;
30-10-2025;16:00;Hoek van Holland;-46;
30-10-2025;16:10;Hoek van Holland;-47;
30-10-2025;16:20;Hoek van Holland;-46;
30-10-2025;16:30;Hoek van Holland;-46;
30-10-2025;16:40;Hoek van Holland;-44;
30-10-2025;16:50;Hoek van Holland;-42;
30-10-2025;17:00;Hoek van Holland;-39;
30-10-2025;17:10;Hoek van Holland;-35;
30-10-2025;17:20;Hoek van Holland;-31;
30-10-2025;17:30;Hoek van Holland;-26;
30-10-2025;17:40;Hoek van Holland;-20;
30-10-2025;17:50;Hoek van Holland;-13;
30-10-2025;18:00;Hoek van Holland;-6;
30-10-2025;18:10;Hoek van Holland;1;
30-10-2025;18:20;Hoek van Holland;9;
30-10-2025;18:30;Hoek van Holland;18;
30-10-2025;18:40;Hoek van Holland;27;
30-10-2025;18:50;Hoek van Holland;36;
30-10-2025;19:00;Hoek van Holland;45;
30-10-2025;19:10;Hoek van Holland;54;
30-10-2025;19:20;Hoek van Holland;61;
30-10-2025;19:30;Hoek van Holland;68;
30-10-2025;19:40;Hoek van Holland;74;
30-10-2025;19:50;Hoek van Holland;79;
30-10-2025;20:00;Hoek van Holland;83;
30-10-2025;20:10;Hoek van Holland;85;
30-10-2025;20:20;Hoek van Holland;87;
30-10-2025;20:30;Hoek van Holland;88;
30-10-2025;20:40;Hoek van Holland;89;
30-10-2025;20:50;Hoek van Holland;90;
30-10-2025;21:00;Hoek van Holland;91;
30-10-2025;21:10;Hoek van Holland;91;
30-10-2025;21:17;Hoek van Holland;91;91
30-10-2025;21:20;Hoek van Holland;91;
30-10-2025;21:30;Hoek van Holland;91;
30-10-2025;21:40;Hoek van Holland;90;
30-10-2025;21:50;Hoek van Holland;88;
30-10-2025;22:00;Hoek van Holland;86;
30-10-2025;22:10;Hoek van Holland;83;
30-10-2025;22:20;Hoek van Holland;80;
30-10-2025;22:30;Hoek van Holland;77;
30-10-2025;22:40;Hoek van Holland;73;
30-10-2025;22:50;Hoek van Holland;69;
30-10-2025;23:00;Hoek van Holland;65;
30-10-2025;23:10;Hoek van Holland;61;
30-10-2025;23:20;Hoek van Holland;57;
30-10-2025;23:30;Hoek van Holland;53;
30-10-2025;23:40;Hoek van Holland;48;
30-10-2025;23:50;Hoek van Holland;44;
31-10-2025;00:00;Hoek van Holland;39;
